iter	Passed	Remaining
1482	147577	150960
1483	147691	150876
1484	147811	150797
1485	147907	150694
1486	148019	150607
1487	148121	150510
1488	148210	150399
1489	148297	150288
1490	148506	150299
1491	148612	150205
1492	148727	150122
1493	148821	150016
1494	148910	149906
1495	149018	149815
1496	149110	149708
1497	149202	149600
1498	149300	149499
1499	149395	149395
1500	149486	149287
1501	149584	149186
1502	149681	149084
1503	149773	148976
1504	149874	148879
1505	149977	148782
1506	150083	148689
1507	150235	148641
1508	150360	148566
1509	150454	148461
1510	150553	148361
1511	150648	148256
1512	150738	148147
1513	150844	148055
1514	150934	147945
1515	151027	147839
1516	151121	147734
1517	151227	147640
1518	151328	147542
1519	151433	147448
1520	151539	147354
1521	151626	147242
1522	151715	147133
1523	151808	147027
1524	151902	146922
1525	152003	146823
1526	152100	146721
1527	152204	146626
1528	152294	146517
1529	152381	146406
1530	152468	146294
1531	152560	146187
1532	152644	146072
1533	152742	145971
1534	152843	145873
1535	152949	145780
1536	153062	145693
1537	153154	145586
1538	153304	145535
1539	153428	145458
1540	153558	145387
1541	153669	145298
1542	153787	145215
1543	153904	145132
1544	154006	145035
1545	154125	144953
1546	154227	144856
1547	154338	144766
1548	154454	144683
1549	154554	144583
1550	154668	144496
1551	154790	144417
1552	154907	144334
1553	155025	144251
1554	155139	144165
1555	155252	144077
1556	155372	143996
1557	155479	143903
1558	155589	143813
1559	155695	143719
1560	155815	143638
1561	155915	143538
1562	156028	143450
1563	156132	143354
1564	156244	143266
1565	156368	143187
1566	156482	143100
1567	156589	143007
1568	156710	142927
1569	156836	142850
1570	156951	142764
1571	157068	142680
1572	157188	142598
1573	157317	142524
1574	157446	142451
1575	157565	142368
1576	157668	142271
1577	157772	142175
1578	157880	142082
1579	157975	141977
1580	158062	141866
1581	158265	141858
1582	158364	141758
1583	158451	141645
1584	158542	141537
1585	158633	141429
1586	158739	141335
1587	158847	141241
1588	158943	141138
1589	159042	141037
1590	159138	140934
1591	159231	140827
1592	159334	140730
1593	159421	140619
1594	159521	140518
1595	159627	140424
1596	159723	140320
1597	159823	140220
1598	159939	140134
1599	160032	140028
1600	160146	139940
1601	160246	139840
1602	160332	139728
1603	160440	139634
1604	160552	139545
1605	160666	139458
1606	160759	139351
1607	160853	139246
1608	160954	139147
1609	161061	139053
1610	161169	138959
1611	161264	138855
1612	161350	138743
1613	161455	138647
1614	161556	138548
1615	161656	138448
1616	161762	138353
1617	161849	138242
1618	161948	138141
1619	162050	138042
1620	162148	137941
1621	162270	137859
1622	162374	137763
1623	162481	137669
1624	162575	137564
1625	162675	137463
1626	162763	137353
1627	162874	137262
1628	162967	137156
1629	163068	137057
1630	163166	136955
1631	163267	136856
1632	163364	136753
1633	163470	136659
1634	163583	136569
1635	163698	136482
1636	163804	136387
1637	163908	136290
1638	164018	136198
1639	164130	136107
1640	164228	136006
1641	164330	135907
1642	164423	135801
1643	164541	135716
1644	164642	135617
1645	164746	135520
1646	164845	135419
1647	164962	135332
1648	165062	135232
